Domain,Topic,Skill,Sub-skill
Algebra,Algebraic expressions,Operations on rational algebraic expressions,Adding and/or subtracting rational algebraic expressions involving radicals
Algebra,Algebraic expressions,Operations on rational algebraic expressions,Multiplying and/or dividing rational algebraic expressions involving radicals
Algebra,Linear equations (one variable),Understanding linear equations in one variable,Using substitution to determine whether a given number makes an equation true
Algebra,Linear equations (one variable),Understanding linear equations in one variable,Framing linear equations in one variable (for mathematical and real-life problems)
Algebra,Linear equations (one variable),Understanding linear equations in one variable,Comparing algebraic solutions to arithmetic solutions (sequences of operations in each approach)
Algebra,Linear equations (one variable),Solving single-step problems using linear equations in one variable,"Solving problems with equations of the form x + p = q, where p and q are rational numbers"
Algebra,Linear equations (one variable),Solving single-step problems using linear equations in one variable,"Solving problems with equations of the form px = q, where p and q are rational numbers"
Algebra,Linear equations (one variable),Solving multi-step problems using linear equations in one variable,"Solving problems with equations of the form px + q = r, where p, q and r are rational numbers"
Algebra,Linear equations (one variable),Solving multi-step problems using linear equations in one variable,"Solving problems with equations of the form p(x + q) = r, where p, q and r are rational numbers"
Algebra,Linear equations (one variable),Solving multi-step problems using linear equations in one variable,Generating and understanding linear equations in one variable with infinitely many solutions
Algebra,Linear equations (one variable),Solving multi-step problems using linear equations in one variable,Generating and understanding linear equations in one variable with no solution
Algebra,Linear equations (one variable),Solving multi-step problems using linear equations in one variable,Solving linear equations in one variable with variables on both sides of the equation
Algebra,Linear equations (one variable),Solving multi-step problems using linear equations in one variable,"Solving linear equations in one variable, where coefficients are represented by letters"
Algebra,Linear equations (one variable),Solving multi-step problems using linear equations in one variable,Solving problems involving multi-step linear equations in one variable
Algebra,Linear equations (one variable),Solving multi-step problems involving absolute value linear equations in one variable,Solving equations where absolute value expressions are on one side of the the equation
Algebra,Linear equations (one variable),Solving multi-step problems involving absolute value linear equations in one variable,Solving equations where absolute value expressions are on both sides of the the equation
Algebra,Linear equations (one variable),Solving multi-step problems involving absolute value linear equations in one variable,Solving absolute value equations with extraneous solutions
Algebra,Linear inequalities (one variable),Understanding linear inequalities in one variable,Using substitution to determine whether a given number makes an inequality true
Algebra,Linear inequalities (one variable),Framing/writing linear inequalities in one variable,Framing inequalities (px ≥ c or px ≤ c forms) in the context of different problems
Algebra,Linear inequalities (one variable),Framing/writing linear inequalities in one variable,Framing inequalities (px + q ≤ r or px + q ≥ r forms) in the context of different problems
Algebra,Linear inequalities (one variable),Framing/writing linear inequalities in one variable,Framing compound inequalities in the context of different problems
Algebra,Linear inequalities (one variable),Solving/interpreting linear inequalities in one variable,Solving and/or interpreting inequalities (px ≥ c or px ≤ c forms)
Algebra,Linear inequalities (one variable),Solving/interpreting linear inequalities in one variable,Solving and/or interpreting inequalities (px + q ≤ r or px + q ≥ r forms)
Algebra,Linear inequalities (one variable),Solving/interpreting linear inequalities in one variable,Solving and/or interpreting inequalities with no solution
Algebra,Linear inequalities (one variable),Solving/interpreting linear inequalities in one variable,Solving and/or interpreting inequalities with variables on both sides on the inequality
Algebra,Linear inequalities (one variable),Solving/interpreting linear inequalities in one variable,Solving and/or interpreting linear inequalities with coefficients represented by letters
Algebra,Linear inequalities (one variable),Solving/interpreting linear inequalities in one variable,Solving and/or interpreting compound inequalities
Algebra,Linear inequalities (one variable),Solving/interpreting linear inequalities in one variable,Solving and/or interpreting absolute value inequalities
Algebra,Linear inequalities (one variable),Solving/interpreting linear inequalities in one variable,Solving real-world problems involving multi-step linear inequalities in one variable
Algebra,Linear inequalities (one variable),Representing solutions of linear inequalities in one variable on a number line,Representing solutions of inequalities (px ≥ c or px ≤ c forms) on number lines
Algebra,Linear inequalities (one variable),Representing solutions of linear inequalities in one variable on a number line,Representing solutions of inequalities (px + q ≤ r or px + q ≥ r forms) on number lines
Algebra,Linear inequalities (one variable),Representing solutions of linear inequalities in one variable on a number line,Representing solutions of compound inequalities on number lines
Algebra,Linear inequalities (one variable),Representing solutions of linear inequalities in one variable on a number line,Representing solutions of absolute value inequalities on number lines
Algebra,Linear equations (two variables),Understanding pairs of linear equations in two variables,Writing an equation to express one quantity (dependent variable) in terms of another (independent variable)
Algebra,Linear equations (two variables),Understanding pairs of linear equations in two variables,Examining the relationship between the dependent and independent variables using tables and graphs
Algebra,Linear equations (two variables),Understanding pairs of linear equations in two variables,Writing a linear equation in two variables in the standard form (ax + by + c = 0)
Algebra,Linear equations (two variables),Understanding pairs of linear equations in two variables,Using substitution to determine whether a pair of numbers makes an equation true
Algebra,Linear equations (two variables),Solving pairs of linear equations in two variables,Graphically understanding the solution of a pair of linear equations in two variables
Algebra,Linear equations (two variables),Solving pairs of linear equations in two variables,Solving a pair of linear equations in two variables graphically
Algebra,Linear equations (two variables),Solving pairs of linear equations in two variables,Solving a pair of linear equations in two variables algebraically by substitution
Algebra,Linear equations (two variables),Solving pairs of linear equations in two variables,Solving a pair of linear equations in two variables algebraically by elimination
Algebra,Linear equations (two variables),Solving pairs of linear equations in two variables,Solving a pair of linear equations in two variables with infinitely many solutions
Algebra,Linear equations (two variables),Solving pairs of linear equations in two variables,Solving a pair of linear equations in two variables with no solution
Algebra,Linear equations (two variables),Solving pairs of linear equations in two variables,Solving a simple pair of linear equations in two variables by inspection
Algebra,Linear equations (two variables),Solving pairs of linear equations in two variables,Solving real-world problems involving a pair of linear equations in two variables
Algebra,Linear equations (two variables),Solving pairs of linear equations in two variables,Solving systems of linear equations approximately
Algebra,Linear equations (two variables),Solving pairs of linear equations in two variables,Using the inverse of a matrix (2 × 2) to solve systems of linear equations in two variables algebraically
Algebra,Equation of a straight line,Connecting proportional relationships and the equation of a straight line,Graphing proportional relationships
Algebra,Equation of a straight line,Connecting proportional relationships and the equation of a straight line,Comparing proportional relationships represented graphically
Algebra,Equation of a straight line,Understanding and using slopes,Solving problems involving slopes (including interpreting unit rates)
Algebra,Equation of a straight line,Understanding and using slopes,Using similar triangles to understand why the slope of a straight line remains constant
Algebra,Equation of a straight line,Writing the equation of a straight line,Writing an equation of a straight line using a slope and a general point
Algebra,Equation of a straight line,Writing the equation of a straight line,Writing an equation of a straight line using two points
Algebra,Equation of a straight line,Writing the equation of a straight line,Writing an equation of a straight line when the line is represented graphically
Algebra,Equation of a straight line,Writing the equation of a straight line,Deriving and using the equation y = mx for a line passing through origin
Algebra,Equation of a straight line,Writing the equation of a straight line,Deriving and using the equation y = mx + b for a line with y-intercept b
Algebra,Equation of a straight line,Writing the equation of a straight line,Proving the slope criterion for parallel lines and using it to solve geometric problems
Algebra,Equation of a straight line,Writing the equation of a straight line,Proving the slope criterion for perpendicular lines and using it to solve geometric problems
Algebra,Equation of a straight line,Graphing the equation of a straight line,Graphing a horizontal line and/or vertical line
Algebra,Equation of a straight line,Graphing the equation of a straight line,Identifying axes intercepts when a line is represented graphically
Algebra,Equation of a straight line,Graphing the equation of a straight line,Graphing an equation of a straight line represented in different forms
Algebra,Equation of a straight line,Graphing the equation of a straight line,Solving mathematical problems involving graphing an equation of a straight line
Algebra,Equation of a straight line,Graphing the equation of a straight line,Solving real-world problems involving graphing an equation of a straight line (including modelling)
Algebra,Linear equations (three variables),Understanding and solving linear equations in three variables,Visualising the solution of a system of linear equations in three variables
Algebra,Linear equations (three variables),Understanding and solving linear equations in three variables,Solving a system of linear equations in three variables algebraically
Algebra,Linear equations (three variables),Understanding and solving linear equations in three variables,Solving real-world problems involving multi-step linear equations in three variables
Algebra,Linear equations (three variables),Understanding and solving linear equations in three variables,Using the inverse of a matrix (3 × 3 or greater) to solve systems of linear equations in three variables with technology
Algebra,Roots,Evaluating roots,Evaluating square roots of perfect squares
Algebra,Roots,Evaluating roots,Evaluating cube roots of perfect cubes
Algebra,Roots,Evaluating roots,Evaluating nth roots
Algebra,Roots,Evaluating roots,Evaluating expressions involving square roots of positive numbers
Algebra,Roots,Evaluating roots,Evaluating expressions involving cube roots of positive/negative numbers
Algebra,Roots,Evaluating roots,Evaluating expressions involving nth roots
Algebra,Roots,Applying roots,Solving problems involving square roots of positive numbers
Algebra,Roots,Applying roots,Solving problems involving cube roots of positive/negative numbers
Algebra,Roots,Applying roots,Solving problems involving nth roots
Algebra,Roots,Using symbols for solutions to equations,Using the square root symbol for solutions to equations of the form x^2 = p
Algebra,Roots,Using symbols for solutions to equations,Using the cube root symbol for solutions to equations of the form x^3 = p
Algebra,Roots,Using symbols for solutions to equations,Using the nth root symbol for solutions to equations of the form x^n = p
Algebra,Non-linear equations (one variable),Understanding quadratic equations in one variable,Writing a quadratic equation in the standard form (ax^2 + bx + c = 0)
Algebra,Non-linear equations (one variable),Understanding quadratic equations in one variable,Factoring a quadratic expression/equation to reveal its zeroes
Algebra,Non-linear equations (one variable),Understanding quadratic equations in one variable,Deriving the quadratic formula using the method of completing the square
Algebra,Non-linear equations (one variable),Understanding quadratic equations in one variable,recognizing when a quadratic equation has complex solutions using the discriminant
Algebra,Non-linear equations (one variable),Understanding multi-step problems involving non-linear equations in one variable,Framing non-linear equations in one variable
Algebra,Non-linear equations (one variable),Understanding multi-step problems involving non-linear equations in one variable,Representing constraints by linear or non-linear equations in one variable
Algebra,Non-linear equations (one variable),Solving multi-step problems using quadratic equations in one variable,Solving quadratic equations by analysing their graphs
Algebra,Non-linear equations (one variable),Solving multi-step problems using quadratic equations in one variable,Solving quadratic equations by inspection (algebraically)
Algebra,Non-linear equations (one variable),Solving multi-step problems using quadratic equations in one variable,Solving quadratic equations by factorisation
Algebra,Non-linear equations (one variable),Solving multi-step problems using quadratic equations in one variable,Solving quadratic equations by completing the square
Algebra,Non-linear equations (one variable),Solving multi-step problems using quadratic equations in one variable,Solving quadratic equations by using the quadratic formula
Algebra,Non-linear equations (one variable),Solving multi-step problems using quadratic equations in one variable,Solving quadratic equations with complex number solutions using the quadratic formula
Algebra,Non-linear equations (one variable),Solving multi-step problems using quadratic equations in one variable,Solving real-world problems involving quadratic equations
Algebra,Non-linear equations (one variable),Solving multi-step problems using non-linear equations in one variable,Explaining and justifying each step in solving a non-linear equation
Algebra,Non-linear equations (one variable),Solving multi-step problems using non-linear equations in one variable,Solving rational equations in one variable (including extraneous solutions)
Algebra,Non-linear equations (one variable),Solving multi-step problems using non-linear equations in one variable,Solving radical equations in one variable (including extraneous solutions)
Algebra,Non-linear equations (one variable),Solving multi-step problems using non-linear equations in one variable,Solving exponential equations in one variable (including unlike bases)
Algebra,Non-linear equations (one variable),Solving multi-step problems using non-linear equations in one variable,Solving logarithmic equations in one variable
Algebra,Non-linear equations (one variable),Solving multi-step problems using non-linear equations in one variable,Interpreting solutions as viable or non-viable in a modelling context
Algebra,Non-linear inequalities (one variable),Understanding and representing non-linear inequalities in one variable,Framing non-linear inequalities in one variable
Algebra,Non-linear inequalities (one variable),Understanding and representing non-linear inequalities in one variable,Representing constraints by linear or non-linear inequalities in one variable
Algebra,Non-linear inequalities (one variable),Solving multi-step problems using non-linear inequalities in one variable,Solving quadratic inequalities in one variable (algebraically or graphically)
Algebra,Non-linear inequalities (one variable),Solving multi-step problems using non-linear inequalities in one variable,Solving real-world problems involving quadratic inequalities
Algebra,Non-linear inequalities (one variable),Solving multi-step problems using non-linear inequalities in one variable,Solving radical inequalities in one variable
Algebra,Non-linear inequalities (one variable),Solving multi-step problems using non-linear inequalities in one variable,Interpreting radical inequalities in real-world contexts
Algebra,Non-linear inequalities (one variable),Solving multi-step problems using non-linear inequalities in one variable,Solving exponential/logarithmic inequalities in one variable
Algebra,Non-linear inequalities (one variable),Solving multi-step problems using non-linear inequalities in one variable,Interpreting exponential/logarithmic inequalities in real-world contexts
Algebra,Non-linear equations (multi-variable),Understanding and generating non-linear equations in two or more variables,Framing non-linear equations in two or more variables to represent relationships between quantities
Algebra,Non-linear equations (multi-variable),Understanding and generating non-linear equations in two or more variables,Graphing equations on coordinate axes with labels and scales
Algebra,Non-linear equations (multi-variable),Understanding and generating non-linear equations in two or more variables,Representing constraints by linear or non-linear equations in two or more variables
Algebra,Non-linear equations (multi-variable),Understanding and generating non-linear equations in two or more variables,Rearranging and using formulae to highlight a quantity of interest
Algebra,Non-linear equations (multi-variable),Understanding and generating non-linear equations in two or more variables,Proving that replacing one equation by the sum of that equation and a multiple of the other produces a system of two-variable equations with the same solutions
Algebra,Non-linear equations (multi-variable),Understanding and generating non-linear equations in two or more variables,Representing a system of linear equations as a single matrix equation 
Algebra,Non-linear equations (multi-variable),Understanding and generating non-linear equations in two or more variables,Understanding that the graph of a non-linear equation in two variables is the set of all its solutions plotted in the coordinate plane
Algebra,Non-linear equations (multi-variable),Understanding and generating non-linear equations in two or more variables,Explaining why the x-coordinates of the points where the graphs of the equations y = f(x) and y = g(x) intersect are the solutions of the equation f(x) = g(x)
Algebra,Non-linear equations (multi-variable),Solving multi-step problems using non-linear equations in two or more variables,Solving a system consisting of a linear equation and a quadratic equation in two variables algebraically
Algebra,Non-linear equations (multi-variable),Solving multi-step problems using non-linear equations in two or more variables,Solving a system consisting of a linear equation and a quadratic equation in two variables graphically
Algebra,Non-linear equations (multi-variable),Solving multi-step problems using non-linear equations in two or more variables,Finding the solutions to the equations y = f(x) and y = g(x) approximately
Algebra,Linear inequalities (two variables),Understanding linear inequalities in two variables,Using substitution to determine whether a given pair of numbers makes an inequality true
Algebra,Linear inequalities (two variables),Framing/writing linear inequalities in two variables,Framing inequalities of the form px + qy ≤ r or px + qy < r in the context of different problems
Algebra,Linear inequalities (two variables),Framing/writing linear inequalities in two variables,Framing inequalities of the form px + qy ≥ r or px + qy > r in the context of different problems
Algebra,Linear inequalities (two variables),Representing solutions of linear inequalities in two variables on a graph,Representing solutions of inequalities of the form px + qy ≤ r or px + qy < r on graphs
Algebra,Linear inequalities (two variables),Representing solutions of linear inequalities in two variables on a graph,Representing solutions of inequalities of the form px + qy ≥ r or px + qy > r on graphs
Algebra,Linear inequalities (two variables),Representing solutions of linear inequalities in two variables on a graph,Graphing the solution set to a system of linear inequalities in two variables as the intersection of the half-planes
Algebra,Linear inequalities (two variables),Solving/interpreting linear inequalities in two variables,Solving real-world problems involving multi-step linear inequalities in two variables
Algebra,Functions (general),Understanding functions,Understanding that a function is a mapping from one set of inputs (called the domain) to another set of outputs (called the range)
Algebra,Functions (general),Understanding functions,Identifying whether a given relation is a function
Algebra,Functions (general),Understanding functions,"Understanding that, if f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x"
Algebra,Functions (general),Understanding functions,Understanding that the graph of f is the graph of the equation y = f(x)
Algebra,Functions (general),Understanding functions,Finding the domain and range of a function
Algebra,Functions (general),Understanding functions,Using the vertical line test to determine whether a graph is a function or not
Algebra,Functions (general),Understanding functions,"Comparing properties of two functions that are represented either algebraically, graphically, in tables and/or using verbal statements"
Algebra,Functions (general),Understanding functions,recognizing even and odd functions from their graphs and/or algebraic expressions
Algebra,Functions (general),Understanding functions,"Classifying equations/functions as showing direct variation, inverse variation or neither"
Algebra,Functions (general),Understanding functions,Finding the inverse of a function (if it exists)
Algebra,Functions (general),Understanding functions,"Verifying, by composition, that one function is the inverse of another"
Algebra,Functions (general),Understanding functions,Reading the values of an inverse function from a graph or a table
Algebra,Functions (general),Writing and interpreting functions,Using and interpreting function notation (with and without a context)
Algebra,Functions (general),Writing and interpreting functions,Interpreting key features of graphs or tables of functions in terms of the quantities involved
Algebra,Functions (general),Writing and interpreting functions,Calculating and interpreting the average rate of change (including using the initial value of the function)
Algebra,Functions (general),Writing and interpreting functions,Estimating the rate of change of a function graphically
Algebra,Functions (general),Writing and interpreting functions,Determining an explicit expression for a function from a context
Algebra,Functions (general),Writing and interpreting functions,Determining a recursive process for a function from a context
Algebra,Functions (general),Writing and interpreting functions,Combining standard function types using arithmetic operations (including finding new domains and ranges)
Algebra,Functions (general),Writing and interpreting functions,Writing and interpreting composite functions
Algebra,Functions (general),Writing and interpreting functions,Writing and interpreting piecewise-defined functions
Algebra,Functions (general),Writing and interpreting functions,Writing and interpreting absolute value functions
Algebra,Functions (general),Writing and interpreting functions,Writing and interpreting direct/inverse variation functions
Algebra,Functions (general),Graphing functions,Graphing a function using ordered pairs (including relating a domain of a function to its graph)
Algebra,Functions (general),Graphing functions,Sketching a graph showing key features when it has been described in words or tables
Algebra,Functions (general),Graphing functions,Describing (qualitatively) the relationship between two quantities by analysing graphs
Algebra,Functions (general),Graphing functions,Graphing square root and cube root functions
Algebra,Functions (general),Graphing functions,Graphing piecewise-defined functions
Algebra,Functions (general),Graphing functions,Graphing polynomial (excluding quadratics) functions
Algebra,Functions (general),Graphing functions,Graphing rational functions
Algebra,Functions (general),Graphing functions,Identifying/finding turning points of functions from their graphs
Algebra,Functions (general),Graphing functions,"Identifying function families (among constant, linear, absolute value and quadratic)"
Algebra,Functions (general),Graphing functions,Identifying and reasoning the effects of reflection about different lines on graphs that are not linear or quadratic
Algebra,Functions (general),Graphing functions,Identifying and reasoning the effects of vertical and/or horizontal translations on graphs that are not linear or quadratic
Algebra,Functions (general),Graphing functions,Identifying and reasoning the effects of vertical and/or horizontal stretches or shrinks on graphs that are not linear or quadratic
Algebra,Functions (general),Applying and analysing functions,Using the horizontal line test to determine whether an inverse of a function exists
Algebra,Functions (general),Applying and analysing functions,Evaluating functions (excluding exponential and trigonometric) at specific points
Algebra,Functions (general),Applying and analysing functions,Defining and recognizing recursive functions (including sequences)
Algebra,Functions (general),Applying and analysing functions,Graphing polynomial functions (degree > 2)
Algebra,Functions (general),Applying and analysing functions,Identifying zeroes of rational functions when suitable factorisations are available
Algebra,Functions (general),Applying and analysing functions,Identifying asymptotes of rational functions when suitable factorisations are available
Algebra,Functions (general),Applying and analysing functions,Producing an invertible function from a non-invertible function by restricting the domain
Algebra,Functions (general),Applying and analysing functions,"Solving problems involving comparing different classes of functions (linear, quadratic and exponential)"
Algebra,Functions (general),Applying and analysing functions,Solving real-world problems involving functions (including modelling)
Algebra,Functions (linear),Understanding linear functions,Proving that linear functions grow by equal differences over equal intervals
Algebra,Functions (linear),Understanding linear functions,recognizing situations in which one quantity changes at a constant rate with respect to another quantity
Algebra,Functions (linear),Understanding linear functions,Distinguishing between linear and non-linear functions
Algebra,Functions (linear),Writing and interpreting linear functions,Identifying/Constructing a linear function (including arithmetic sequences) from a graph
Algebra,Functions (linear),Writing and interpreting linear functions,Identifying/Constructing a linear function (including arithmetic sequences) from a description/equation
Algebra,Functions (linear),Writing and interpreting linear functions,Identifying/Constructing a linear function (including arithmetic sequences) from a set of input-output pairs
Algebra,Functions (linear),Writing and interpreting linear functions,Interpreting the parameters of a linear function in terms of a context
Algebra,Functions (linear),Graphing linear functions,Graphing linear functions and showing intercepts
Algebra,Functions (linear),Graphing linear functions,Translating or reflecting a linear function (including writing the final function)
Algebra,Functions (linear),Graphing linear functions,Stretching or shrinking a linear function (including writing the final function)
Algebra,Functions (linear),Graphing linear functions,Performing multiple transformations on linear functions (including writing the final function)
Algebra,Functions (linear),Graphing linear functions,Translating or reflecting an absolute value linear function (including writing the final function)
Algebra,Functions (linear),Graphing linear functions,Stretching or shrinking an absolute value linear function (including writing the final function)
Algebra,Functions (linear),Graphing linear functions,Performing multiple transformations on absolute value linear functions (including writing the final function)
Algebra,Functions (quadratic),Understanding quadratic functions,Identifying characteristics of quadratic functions (vertex and axis of symmetry)
Algebra,Functions (quadratic),Writing and interpreting quadratic functions,Writing a quadratic function under specific conditions
Algebra,Functions (quadratic),Writing and interpreting quadratic functions,Interpreting key features of a quadratic function within a real-world context
Algebra,Functions (quadratic),Graphing quadratic functions,"Graphing quadratic functions (including showing intercepts, maxima or minima)"
Algebra,Functions (quadratic),Graphing quadratic functions,Translating or reflecting a quadratic function (including writing the final function)
Algebra,Functions (quadratic),Graphing quadratic functions,Stretching or shrinking a quadratic function (including writing the final function)
Algebra,Functions (quadratic),Graphing quadratic functions,Performing multiple transformations on quadratic functions (including writing the final function)
Algebra,Functions (quadratic),Applying and analysing quadratic functions,"Using the process of factorisation to find/show zeroes, extreme values and symmetry on graphs of quadratic functions"
Algebra,Functions (quadratic),Applying and analysing quadratic functions,"Using the process of completing the square to find/show zeroes, extreme values and symmetry on graphs of quadratic functions"
Algebra,Functions (quadratic),Applying and analysing quadratic functions,Solving real-world problems involving quadratic functions
Algebra,Polynomials,Understanding polynomials,Identifying and classifying polynomials
Algebra,Polynomials,Understanding polynomials,Finding the degree of a polynomial
Algebra,Polynomials,Understanding polynomials,Writing a polynomial in the standard form (decreasing order of degree)
Algebra,Polynomials,Adding and subtracting polynomials,Adding two or more polynomials
Algebra,Polynomials,Adding and subtracting polynomials,Subtracting polynomials
Algebra,Polynomials,Adding and subtracting polynomials,Knowing that polynomials are closed under the operations of addition and subtraction
Algebra,Polynomials,Multiplying polynomials,Multiplying two or more monomials
Algebra,Polynomials,Multiplying polynomials,Multiplying two or more polynomials
Algebra,Polynomials,Multiplying polynomials,Knowing that polynomials are closed under multiplication
Algebra,Polynomials,Dividing polynomials,Dividing polynomials by factorisation
Algebra,Polynomials,Dividing polynomials,"Writing a(x)/b(x) in the form of q(x) + r(x)/b(x), with the degree of r(x) less than the degree of b(x) using the long division algorithm"
Algebra,Polynomials,Factorising polynomials,Factorising polynomials by finding the GCF or GCD or HCF
Algebra,Polynomials,Factorising polynomials,Factorising polynomials that are of the form or reducible to the form ax^2 + bx + c
Algebra,Polynomials,Factorising polynomials,Factorising polynomials by grouping
Algebra,Polynomials,Factorising polynomials,Factorising polynomials using algebraic identities
Algebra,Polynomials,Understanding zeroes and factors of polynomials,Stating and applying the remainder theorem in reasoning with polynomials
Algebra,Polynomials,Understanding zeroes and factors of polynomials,Stating and applying the factor theorem in reasoning with polynomials
Algebra,Polynomials,Understanding zeroes and factors of polynomials,Identifying zeroes of polynomials (degree > 2) when suitable factorisations are available
Algebra,Polynomials,Understanding zeroes and factors of polynomials,Using zeroes of polynomials to sketch their graphs and/or write the polynomials
Algebra,Polynomials,Understanding zeroes and factors of polynomials,Applying the Fundamental Theorem of Algebra to determine the zeroes/number of zeroes
Algebra,Polynomials,Applying algebraic identities to solve problems,"Proving different algebraic identities related to squaring, difference of squares and cubing"
Algebra,Polynomials,Applying algebraic identities to solve problems,Using algebraic identities to solve mathematical problems
Algebra,Polynomials,Understanding and applying the binomial theorem,Stating the binomial theorem (n is a positive integer) for the expansion of (x + y)^n
Algebra,Polynomials,Understanding and applying the binomial theorem,Determining the coefficients of the binomial expansion by Pascal’s Triangle
Algebra,Polynomials,Understanding and applying the binomial theorem,Using the binomial theorem to solve problems
Algebra,Functions (exponential and logarithmic),Understanding exponential and logarithmic functions,Defining and using the natural base 'e'
Algebra,Functions (exponential and logarithmic),Understanding exponential and logarithmic functions,Identifying and evaluating exponential functions
Algebra,Functions (exponential and logarithmic),Understanding exponential and logarithmic functions,Deriving and understanding the laws of logarithms from the laws of exponents
Algebra,Functions (exponential and logarithmic),Understanding exponential and logarithmic functions,Applying the laws of logarithms to simplify/evaluate expressions
Algebra,Functions (exponential and logarithmic),Understanding exponential and logarithmic functions,Proving that exponential functions grow or decay by equal factors over equal intervals
Algebra,Functions (exponential and logarithmic),Understanding exponential and logarithmic functions,recognizing situations and solving problems in which a quantity grows or decays by a constant percent rate
Algebra,Functions (exponential and logarithmic),Writing and interpreting exponential functions,Constructing an exponential function (including geometric sequences) from a graph
Algebra,Functions (exponential and logarithmic),Writing and interpreting exponential functions,Constructing an exponential function (including geometric sequences) from a description
Algebra,Functions (exponential and logarithmic),Writing and interpreting exponential functions,Constructing an exponential function (including geometric sequences) from a set of input-output pairs
Algebra,Functions (exponential and logarithmic),Writing and interpreting exponential functions,Interpreting the parameters in an exponential function in terms of a context
Algebra,Functions (exponential and logarithmic),Graphing exponential and logarithmic functions,"Graphing exponential functions (including growth/decay), showing intercepts and end behavior"
Algebra,Functions (exponential and logarithmic),Graphing exponential and logarithmic functions,"Graphing logarithmic functions, showing intercepts and end behavior"
Algebra,Functions (exponential and logarithmic),Graphing exponential and logarithmic functions,Performing multiple transformations on different exponential/logarithmic functions (including writing the final function)
Algebra,Functions (exponential and logarithmic),Applying and analysing exponential and logarithmic functions,Applying the laws of exponents to interpret expressions for exponential functions
Algebra,Functions (exponential and logarithmic),Applying and analysing exponential and logarithmic functions,Understanding and using the inverse relationship between exponential and logarithmic functions to solve problems
Algebra,Functions (exponential and logarithmic),Applying and analysing exponential and logarithmic functions,Observing that a quantity increasing as an exponential function eventually exceeds a quantity increasing as a polynomial function
Algebra,Functions (exponential and logarithmic),Applying and analysing exponential and logarithmic functions,Expressing the solution of exponential models (ab^(ct) = d) where the base is b as logarithms using technology
Algebra,Functions (exponential and logarithmic),Applying and analysing exponential and logarithmic functions,Solving real-world problems involving exponential and/or logarithmic functions (including modelling)
Algebra,Functions (trigonometric),Understanding trigonometric functions,Understanding and using the unit circle to extend trigonometric functions to all real numbers (both degrees and radians)
Algebra,Functions (trigonometric),Understanding trigonometric functions,"Using a right-angled isosceles triangle to geometrically determine the values of sine, cosine and tangent for π/4"
Algebra,Functions (trigonometric),Understanding trigonometric functions,"Using an equilateral triangle to geometrically determine the values of sine, cosine and tangent for π/6 and π/3"
Algebra,Functions (trigonometric),Understanding trigonometric functions,"Choosing trigonometric functions to model periodic phenomena with specified amplitude, frequency and midline"
Algebra,Functions (trigonometric),Understanding trigonometric functions,Proving the Pythagorean identity sin^2(θ) + cos^2(θ) = 1 and its equivalent identities with other ratios
